BlockNumber,BlobLengths
19772541,6
19772542,0
19772543,6
19772544,1
19772545,0
19772546,0
19772547,0
19772548,0
19772549,0
19772550,6
19772551,1
19772552,1
19772553,0
19772554,0
19772555,0
19772556,0
19772557,0
19772558,0
19772559,0
19772560,1
19772561,0
19772562,0
19772563,0
19772564,"2, 1"
19772565,6
19772566,0
19772567,0
19772568,0
19772569,0
19772570,0
19772571,6
19772572,0
19772573,0
19772574,0
19772575,0
19772576,"1, 1"
19772577,6
19772578,0
19772579,6
19772580,0
19772581,0
19772582,0
19772583,1
19772584,0
19772585,0
19772586,0
19772587,6
19772588,1
19772589,6
19772590,0
19772591,0
19772592,0
19772593,1
19772594,0
19772595,0
19772596,0
19772597,0
19772598,"1, 1"
19772599,0
19772600,0
19772601,0
19772602,0
19772603,6
19772604,6
19772605,2
19772606,1
19772607,0
19772608,0
19772609,0
19772610,0
19772611,1
19772612,6
19772613,0
19772614,1
19772615,0
19772616,6
19772617,6
19772618,0
19772619,1
19772620,0
19772621,1
19772622,0
19772623,0
19772624,0
19772625,0
19772626,0
19772627,0
19772628,0
19772629,0
19772630,0
19772631,0
19772632,6
19772633,6
19772634,6
19772635,1
19772636,0
19772637,0
19772638,0
19772639,0
19772640,0
19772641,1
19772642,0
19772643,1
19772644,0
19772645,0
19772646,0
19772647,0
19772648,0
19772649,"2, 1, 1"
19772650,0
19772651,6
19772652,1
19772653,"1, 1"
19772654,0
19772655,6
19772656,6
19772657,0
19772658,0
19772659,0
19772660,0
19772661,1
19772662,6
19772663,0
19772664,0
19772665,0
19772666,0
19772667,1
19772668,6
19772669,0
19772670,0
19772671,1
19772672,1
19772673,0
19772674,0
19772675,0
19772676,0
19772677,0
19772678,6
19772679,1
19772680,0
19772681,0
19772682,0
19772683,6
19772684,0
19772685,1
19772686,0
19772687,2
19772688,0
19772689,6
19772690,0
19772691,1
19772692,0
19772693,1
19772694,0
19772695,0
19772696,0
19772697,0
19772698,6
19772699,1
19772700,0
19772701,0
19772702,0
19772703,6
19772704,1
19772705,0
19772706,0
19772707,1
19772708,0
19772709,0
19772710,0
19772711,0
19772712,6
19772713,0
19772714,0
19772715,1
19772716,0
19772717,0
19772718,"1, 1"
19772719,0
19772720,0
19772721,6
19772722,1
19772723,0
19772724,0
19772725,0
19772726,6
19772727,0
19772728,0
19772729,"2, 1"
19772730,0
19772731,6
19772732,0
19772733,0
19772734,0
19772735,0
19772736,1
19772737,0
19772738,0
19772739,0
19772740,0
19772741,0
19772742,0
19772743,"1, 1, 1"
19772744,0
19772745,6
19772746,0
19772747,0
19772748,0
19772749,0
19772750,6
19772751,0
19772752,6
19772753,0
19772754,0
19772755,0
19772756,6
19772757,6
19772758,0
19772759,1
19772760,0
19772761,0
19772762,1
19772763,0
19772764,1
19772765,0
19772766,0
19772767,1
19772768,2
19772769,0
19772770,6
19772771,0
19772772,0
19772773,0
19772774,0
19772775,0
19772776,0
